class_id,class_name,correct,total,accuracy
106,107.Common_Raven,12,30,40.0
61,062.Herring_Gull,12,30,40.0
95,096.Hooded_Oriole,12,30,40.0
70,071.Long_tailed_Jaeger,12,30,40.0
59,060.Glaucous_winged_Gull,11,29,37.93103448275862
152,153.Philadelphia_Vireo,11,29,37.93103448275862
175,176.Prairie_Warbler,11,30,36.666666666666664
28,029.American_Crow,11,30,36.666666666666664
126,127.Savannah_Sparrow,11,30,36.666666666666664
117,118.House_Sparrow,11,30,36.666666666666664
63,064.Ring_billed_Gull,11,30,36.666666666666664
156,157.Yellow_throated_Vireo,10,29,34.48275862068966
172,173.Orange_crowned_Warbler,10,30,33.33333333333333
151,152.Blue_headed_Vireo,10,30,33.33333333333333
166,167.Hooded_Warbler,10,30,33.33333333333333
38,039.Least_Flycatcher,9,29,31.03448275862069
22,023.Brandt_Cormorant,9,29,31.03448275862069
36,037.Acadian_Flycatcher,9,29,31.03448275862069
26,027.Shiny_Cowbird,9,30,30.0
37,038.Great_Crested_Flycatcher,9,30,30.0
29,030.Fish_Crow,9,30,30.0
142,143.Caspian_Tern,9,30,30.0
178,179.Tennessee_Warbler,8,29,27.586206896551722
129,130.Tree_Sparrow,8,30,26.666666666666668
102,103.Sayornis,8,30,26.666666666666668
101,102.Western_Wood_Pewee,8,30,26.666666666666668
144,145.Elegant_Tern,8,30,26.666666666666668
8,009.Brewer_Blackbird,7,29,24.137931034482758
116,117.Clay_colored_Sparrow,7,29,24.137931034482758
58,059.California_Gull,7,30,23.333333333333332
90,091.Mockingbird,7,30,23.333333333333332
141,142.Black_Tern,7,30,23.333333333333332
42,043.Yellow_bellied_Flycatcher,6,29,20.689655172413794
143,144.Common_Tern,6,30,20.0
